49300-589,344,192.168.0.2,49155,N
49300-590,429,192.168.0.2,49155,N
49300-591,281,192.168.0.2,49155,N
49300-592,331,192.168.0.2,49155,N
49300-593,355,192.168.0.2,49155,N
49300-594,175,192.168.0.2,49155,N
49300-595,256,192.168.0.2,49155,N
49300-596,295,192.168.0.2,49155,N
49300-597,332,192.168.0.2,49155,N
49300-598,490,192.168.0.2,49155,N
49300-599,433,192.168.0.2,49155,N
49300-600,188,192.168.0.2,49155,N
49300-500,201,192.168.0.2,49155,402
49300-510,77,192.168.0.2,49155,154
49300-520,117,192.168.0.2,49155,234
49300-530,342,192.168.0.2,49155,684
49300-540,117,192.168.0.2,49155,234
49300-550,276,192.168.0.2,49155,552
49300-560,328,192.168.0.2,49155,656
